SrNo,NameofCompany,Package,Count
1,FINIQ,10,8
2,TIAA,10,2
3,Mindstix Software,5.5,3
4,eQ Technologies,13,1
5,KPIT,5.25,16
6,Bosch,6,29
7,Druva,18,3
8,Cybage,4.5,12
9,Tech Mahindra,3.25,2
10,Persistant,5.01,2
11,Coriolis,5,2
12,Aress,4.5,7
13,Eumentis,4.5,1
14,Decimal Point Analytics,4,2
15,Quantafic,3.25,2
16,Hexaware,4,1
17,Metamorphosys Technologies,6.5,2
18,IBM,4,1
19,Crompton Greaves,4.5,1
20,Mind Gate,5,3
21,Symtronics,4,1
22,TCS,3.5,6
23,TCS Digital,7.5,5
